In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL2;TrgArticle.allInstances()->forAll(a | a.sections_1->size() >= 4 and a.sections_1->at(1).title = 'References List' and a.sections_1->at(2).title = 'Authors List' and a.sections_1->at(3).title = 'Titles List' and a.sections_1->at(4).title = 'Journals List')
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_Journal;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;86.0;0.86;1.0;0.0;0.9999169504194004;1.0;1.0;1.0
Author;-0.2917536534446764;0.0;0.01;0.0;0.0;-0.9576017130620985;0.0;0.0;0.0;-0.9580700359369677;-0.8666666666666667;0.0;0.0;6.043243243243243;0.0;0.005025125628140704;0.0;0.0
Article_NoTitle_NoJournal;0.0;0.0;0.14;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07526881720430108;0.0;0.0
UntitledEntry;-0.17148554336989033;0.0;0.06;0.0;0.0;-0.709278350515464;0.0;0.0;0.0;-0.7308635239791557;-0.5333333333333333;0.0;0.0;0.6370370370370371;0.0;0.030927835051546393;0.0;0.0
Main;0.0;0.86;0.86;0.9299999999999999;0.86;0.0;0.14285714285714285;0.86;0.9273618495495703;0.0;85.06666666666666;0.86;0.86;0.0;0.0;0.7543859649122807;528.2857142857143;0.5
TitledEntry_NoTitle_NoArticle;-0.2182741116751269;0.0;0.04;0.0;0.0;-0.8174904942965779;0.0;0.0;0.0;-0.8261595987094035;-0.6666666666666666;0.0;0.0;1.1813186813186813;0.0;0.02040816326530612;0.0;0.0
EXAM-BC;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.2222222222222222;0.2222222222222222;0.1111111111111111;0.2222222222222222
EXAM-WC;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.1111111111111111;1.0;0.2222222222222222;0.1111111111111111;0.2222222222222222
EXAM-AVG;0.3888888888888889;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.3888888888888889;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.3888888888888889;0.2222222222222222;0.16666666666666666;0.2222222222222222;0.1111111111111111;0.6111111111111112;0.2222222222222222;0.1111111111111111;0.2222222222222222

OCL18;SrcArticle.allInstances()->forAll(a | TrgPara.allInstances()->exists(p | p.content = a.journal and p.section.title = 'Journals List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.0;0.0;0.14;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07526881720430108;0.0;0.0
TitledEntry_Title_NoArticle;-0.3171759747102213;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.9333333333333333;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Article_NoTitle_Journal;0.0;0.0;0.14;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07526881720430108;0.0;0.0
Article_Title_Journal;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;86.0;0.86;1.0;0.0;0.9999169504194004;1.0;1.0;1.0
Author;-0.2917536534446764;0.0;0.01;0.0;0.0;-0.9576017130620985;0.0;0.0;0.0;-0.9580700359369677;-0.8666666666666667;0.0;0.0;6.043243243243243;0.0;0.005025125628140704;0.0;0.0
Article_NoTitle_NoJournal;0.0;0.0;0.14;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07526881720430108;0.0;0.0
UntitledEntry;-0.17148554336989033;0.0;0.06;0.0;0.0;-0.709278350515464;0.0;0.0;0.0;-0.7308635239791557;-0.5333333333333333;0.0;0.0;0.6370370370370371;0.0;0.030927835051546393;0.0;0.0
Main;0.0;0.86;0.86;0.9299999999999999;0.86;0.0;0.14285714285714285;0.86;0.9273618495495703;0.0;85.06666666666666;0.86;0.86;0.0;0.0;0.7543859649122807;528.2857142857143;0.5
TitledEntry_NoTitle_NoArticle;-0.2182741116751269;0.0;0.04;0.0;0.0;-0.8174904942965779;0.0;0.0;0.0;-0.8261595987094035;-0.6666666666666666;0.0;0.0;1.1813186813186813;0.0;0.02040816326530612;0.0;0.0
EXAM-BC;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.2222222222222222;0.2222222222222222;0.1111111111111111;0.2222222222222222
EXAM-WC;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.1111111111111111;1.0;0.2222222222222222;0.1111111111111111;0.2222222222222222
EXAM-AVG;0.3888888888888889;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.3888888888888889;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.3888888888888889;0.2222222222222222;0.16666666666666666;0.2222222222222222;0.1111111111111111;0.6111111111111112;0.2222222222222222;0.1111111111111111;0.2222222222222222

OCL22;not TrgSect1.allInstances() -> asSequence() -> select(s | s.title = 'Journals List') -> first().paras -> exists(p1,p2 | p1<>p2 and p1.content=p2.content)
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TitledEntry_Title_NoArticle;0.0;0.14;0.14;0.5700000000000001;1.0;0.0;0.023255813953488372;0.14;0.3741657386773941;0.0;14.0;0.14;0.14;1.0;0.0;0.07526881720430108;2.2790697674418605;1.0
Article_NoTitle_Journal;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Article_Title_Journal;0.0;0.86;0.86;0.9299999999999999;1.0;0.0;0.14285714285714285;0.86;0.9273618495495703;0.0;86.0;0.86;0.86;1.0;0.0;0.7543859649122807;528.2857142857143;1.0
Author;0.0;0.13;0.13;0.565;1.0;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;13.0;0.13;0.13;1.0;0.0;0.06951871657754011;1.9425287356321839;1.0
Article_NoTitle_NoJournal;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UntitledEntry;0.0;0.08;0.08;0.54;1.0;0.0;0.021739130434782608;0.08;0.282842712474619;0.0;8.0;0.08;0.08;1.0;0.0;0.041666666666666664;0.6956521739130435;1.0
Main;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
TitledEntry_NoTitle_NoArticle;0.0;0.1;0.1;0.55;1.0;0.0;0.022222222222222223;0.1;0.31622776601683794;0.0;10.0;0.1;0.1;1.0;0.0;0.05263157894736842;1.1111111111111112;1.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111
EXAM-WC;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;1.0;0.1111111111111111;0.3333333333333333;0.6666666666666666
EXAM-AVG;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7222222222222222;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.33333333333333337;0.5555555555555556;0.1111111111111111;0.3333333333333333;0.38888888888888884

OCL26;SrcArticle.allInstances()->iterate(e; a : Sequence(SrcArticle) = Sequence {} | if a->collect(ee | ee.journal)->includes(e.journal) then	a else a->including(e) endif ) -> size() = TrgSect1.allInstances()->select(s | s.title = 'Journals List') -> asSequence() -> first().paras -> size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TitledEntry_Title_NoArticle;0.0;0.14;0.14;0.5700000000000001;1.0;0.0;0.023255813953488372;0.14;0.3741657386773941;0.0;14.0;0.14;0.14;1.0;0.0;0.07526881720430108;2.2790697674418605;1.0
Article_NoTitle_Journal;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Article_Title_Journal;0.0;0.86;0.86;0.9299999999999999;1.0;0.0;0.14285714285714285;0.86;0.9273618495495703;0.0;86.0;0.86;0.86;1.0;0.0;0.7543859649122807;528.2857142857143;1.0
Author;0.0;0.13;0.13;0.565;1.0;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;13.0;0.13;0.13;1.0;0.0;0.06951871657754011;1.9425287356321839;1.0
Article_NoTitle_NoJournal;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UntitledEntry;0.0;0.08;0.08;0.54;1.0;0.0;0.021739130434782608;0.08;0.282842712474619;0.0;8.0;0.08;0.08;1.0;0.0;0.041666666666666664;0.6956521739130435;1.0
Main;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
TitledEntry_NoTitle_NoArticle;0.0;0.1;0.1;0.55;1.0;0.0;0.022222222222222223;0.1;0.31622776601683794;0.0;10.0;0.1;0.1;1.0;0.0;0.05263157894736842;1.1111111111111112;1.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111
EXAM-WC;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;1.0;0.1111111111111111;0.3333333333333333;0.6666666666666666
EXAM-AVG;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7222222222222222;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.33333333333333337;0.5555555555555556;0.1111111111111111;0.3333333333333333;0.38888888888888884


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL2;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111
OCL4;0.2222222222222222;0.3333333333333333;0.2222222222222222;0.1111111111111111;0.6666666666666666;0.2222222222222222;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.4444444444444444;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.3333333333333333
OCL15;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.2222222222222222;0.2222222222222222;0.1111111111111111;0.2222222222222222
OCL18;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.2222222222222222;0.2222222222222222;0.1111111111111111;0.2222222222222222
OCL22;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111
OCL26;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL2;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;1.0;0.1111111111111111;0.3333333333333333;0.6666666666666666
OCL4;0.2222222222222222;0.3333333333333333;0.2222222222222222;0.1111111111111111;0.6666666666666666;0.2222222222222222;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.2222222222222222;1.0;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.3333333333333333
OCL15;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.1111111111111111;1.0;0.2222222222222222;0.1111111111111111;0.2222222222222222
OCL18;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.1111111111111111;1.0;0.2222222222222222;0.1111111111111111;0.2222222222222222
OCL22;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;1.0;0.1111111111111111;0.3333333333333333;0.6666666666666666
OCL26;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;1.0;0.1111111111111111;0.3333333333333333;0.6666666666666666

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL2;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7222222222222222;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.33333333333333337;0.5555555555555556;0.1111111111111111;0.3333333333333333;0.38888888888888884
OCL4;0.2222222222222222;0.3333333333333333;0.2222222222222222;0.1111111111111111;0.6666666666666666;0.2222222222222222;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.2222222222222222;0.7222222222222222;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.3333333333333333
OCL15;0.3888888888888889;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.3888888888888889;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.3888888888888889;0.2222222222222222;0.16666666666666666;0.2222222222222222;0.1111111111111111;0.6111111111111112;0.2222222222222222;0.1111111111111111;0.2222222222222222
OCL18;0.3888888888888889;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.3888888888888889;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.3888888888888889;0.2222222222222222;0.16666666666666666;0.2222222222222222;0.1111111111111111;0.6111111111111112;0.2222222222222222;0.1111111111111111;0.2222222222222222
OCL22;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7222222222222222;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.33333333333333337;0.5555555555555556;0.1111111111111111;0.3333333333333333;0.38888888888888884
OCL26;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7222222222222222;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.33333333333333337;0.5555555555555556;0.1111111111111111;0.3333333333333333;0.38888888888888884
