In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL12;SrcBusy.allInstances()->size() + SrcNoAnswer.allInstances()->size() + SrcRedirection.allInstances()->size() + SrcSwitchedAddress.allInstances()->size() =  TrgSelectCase.allInstances()->select(sc|(sc.commentsBefore=Sequence{'// busy'} or sc.commentsBefore=Sequence{'// noanswer'} or sc.commentsBefore=Sequence{'// redirection'})) -> size() + TrgSelectCase.allInstances()->select(sc|sc.values->first().oclIsTypeOf(TrgStringConstant))->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Busy2SelectCase;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
SubAction2Function;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Redirect2Return;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
StringSwitch2SelectStat;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
NoAnswer2SelectCase;0.10828025477707007;0.37777777777777777;0.44;0.6888888888888889;1.0;0.21628498727735368;0.03571428571428571;0.37777777777777777;0.6146362971528592;0.23924685418842448;34.0;0.34;0.48358105402278395;0.6296296296296297;0.23923002035613108;0.28205128205128205;20.642857142857142;1.0
CPL2Program;0.04205607476635514;0.6;0.59;0.7576271186440677;0.9152542372881356;0.05423320277191925;0.04195804195804196;0.0016153961210549931;0.7410482726333564;0.060996275952168354;53.54545454545455;0.54;0.6320615357774249;0.9119793902962645;0.1829764268780311;0.41843971631205673;71.1219512195122;0.5454545454545454
Outgoing2Method;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Proxy2Select;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;90.0;0.9;1.0;0.0;0.9998889012331963;1.0;1.0;1.0
Failure2ErrorResponse;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
AddressSwitch2SelectStat;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Proxy2Return;-0.013071895424836602;0.35555555555555557;0.38;0.6222222222222222;0.8888888888888888;-0.024968789013732832;0.026143790849673203;4.408077802573215E-4;0.5621826951410452;-0.027777777777777776;31.636363636363637;0.32;0.4251616381946047;0.8105590062111802;0.13332407471703356;0.2345679012345679;16.516129032258064;0.4705882352941177
Default2SelectDefault;0.07142857142857142;0.2777777777777778;0.35;0.6388888888888888;1.0;0.18018018018018017;0.03076923076923077;0.2777777777777778;0.5270462766947299;0.19245008972987526;25.0;0.25;0.38569939357385014;0.5555555555555556;0.19243527605541763;0.21212121212121213;9.615384615384615;1.0
SwitchedAddress2SelectCase;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
NotPresent2ErrorResponse;0.03954802259887006;0.25555555555555554;0.32;0.6069444444444445;0.9583333333333334;0.1027900146842878;0.027090694935217905;7.870934528406039E-4;0.4948812053487255;0.10926834468453096;22.90909090909091;0.23;0.35476215392070776;0.5834542815674891;0.16154844383281083;0.19047619047619047;7.779411764705882;0.71875
