;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL9;SrcSubCall.allInstances()->size() = TrgFunctionCallExp.allInstances()->size() and SrcSubCall.allInstances()->size() = TrgFunctionCall.allInstances()->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Failure2ErrorResponse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;49.0;0.0;51.0;0.0;100.0;51.0;49.0;0.0;0.0;0.51;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3422818791946309;0.0;0.0;
AddressSwitch2SelectStat;;;;X;;;;;X;;;;X;;;;;X;;;;;;;;X;;;;X;X;;;X;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;0.0;49.0;13.0;38.0;13.0;87.0;51.0;49.0;-0.2586276898091758;0.0;0.38;0.0;0.0;-0.3509641873278237;0.0;0.0;0.0;-0.3789003459563977;-0.25;0.0;0.0;0.1510194404931247;0.0;0.2345679012345679;0.0;0.0;
Proxy2Return;;;;X;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;0.0;49.0;4.0;47.0;4.0;96.0;51.0;49.0;-0.07986960065199673;0.0;0.47;0.0;0.0;-0.13596947624002775;0.0;0.0;0.0;-0.2000816826662603;-0.07692307692307693;0.0;0.0;0.040884438881935756;0.0;0.30718954248366015;0.0;0.0;
Default2SelectDefault;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;0.0;49.0;4.0;47.0;4.0;96.0;51.0;49.0;-0.07986960065199673;0.0;0.47;0.0;0.0;-0.13596947624002775;0.0;0.0;0.0;-0.2000816826662603;-0.07692307692307693;0.0;0.0;0.040884438881935756;0.0;0.30718954248366015;0.0;0.0;
SwitchedAddress2SelectCase;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;49.0;5.0;46.0;5.0;95.0;51.0;49.0;-0.09979633401221996;0.0;0.46;0.0;0.0;-0.16476126429051782;0.0;0.0;0.0;-0.22487239817113244;-0.09615384615384616;0.0;0.0;0.051709582102152804;0.0;0.2987012987012987;0.0;0.0;
NotPresent2ErrorResponse;X;;;;;;;;X;X;;;X;;;X;;;;;;;;;;;X;X;;X;;;;;;;;;X;X;;;;;X;;;;;;;;;;;;X;;X;;;;;;;;;X;X;;X;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;0.0;49.0;18.0;33.0;18.0;82.0;51.0;49.0;-0.3573743922204214;0.0;0.33;0.0;0.0;-0.4437735849056604;0.0;0.0;0.0;-0.4592427176827301;-0.34615384615384615;0.0;0.0;0.2304075235109718;0.0;0.19760479041916168;0.0;0.0;
Location2URIConstant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;49.0;0.0;51.0;0.0;100.0;51.0;49.0;0.0;0.0;0.51;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3422818791946309;0.0;0.0;
Otherwise2SelectDefault;;;;;;;;;;X;;;X;;;X;;X;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;X;;X;;X;;X;;;;;;;;X;;;;;;;;;;X;;;;X;;;;;;;;;X;;;X;;;;X;;;;;;;;;;;;;;0.0;49.0;19.0;32.0;19.0;81.0;51.0;49.0;-0.3770757391656541;0.0;0.32;0.0;0.0;-0.4611193660227836;0.0;0.0;0.0;-0.4747306183612796;-0.36538461538461536;0.0;0.0;0.24866452991452992;0.0;0.19047619047619047;0.0;0.0;
Incoming2Method;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;X;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;;;0.0;49.0;9.0;42.0;9.0;91.0;51.0;49.0;-0.1793411956079707;0.0;0.42;0.0;0.0;-0.26582278481012656;0.0;0.0;0.0;-0.30825739964255383;-0.17307692307692307;0.0;0.0;0.09813084112149532;0.0;0.26582278481012656;0.0;0.0;
;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Fail;Pass;Fail;Fail;Pass;Fail;Pass;Pass;Pass;Fail;Fail;Fail;Pass;Fail;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Pass;Fail;Pass;Fail;Pass;Fail;Pass;Fail;Fail;Fail;Fail;Fail;Pass;Fail;Pass;Fail;Fail;Pass;Fail;Fail;Fail;Fail;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Fail;Pass;Fail;Fail;Fail;Pass;Pass;Fail;Fail;Pass;Fail;Fail;Pass;Fail;Fail;Fail;Fail;Fail;Fail;
