In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL1;SrcCPL.allInstances()->size() = TrgProgram.allInstances()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.001774622892635315;0.09090909090909091;0.55;0.2676767676767677;0.4444444444444444;0.0024367956137678953;0.013793103448275862;7.99921607682447E-6;0.20100756305184242;0.0028157733142337264;3.912280701754386;0.04;0.2889069451838218;0.08008898776418243;0.1435943307988016;0.3793103448275862;0.35555555555555557;0.5045045045045046
SubCall2Return;-0.23481781376518218;0.3111111111111111;0.39;0.3146464646464646;0.3111111111111111;-0.23486535735978942;0.010316875460574797;2.107288961998914E-5;0.3146266024828463;-0.23486593986243356;13.456140350877194;0.14;0.3490436972447492;0.5009276437847866;0.14172370749082014;0.2422360248447205;3.2131147540983607;0.3649906890130354
Busy2SelectCase;0.03169014084507042;0.13636363636363635;0.56;0.3181818181818182;0.5;0.04090909090909091;0.016666666666666666;1.5787396395211156E-5;0.26111648393354675;0.04463547754827117;5.894736842105263;0.06;0.34641016151377546;0.10536044362292052;0.185969627502334;0.3888888888888889;0.8181818181818182;0.5599999999999999
SubAction2Function;0.31957857769973663;0.29545454545454547;0.69;0.6477272727272727;1.0;0.4050069541029207;0.06451612903225806;0.29545454545454547;0.543557306504609;0.4360936120301471;13.0;0.13;0.5632663318877372;0.104;0.4360674902929314;0.5267175572519084;5.451612903225806;1.0
Redirect2Return;-0.0995850622406639;0.29545454545454547;0.47;0.3334415584415584;0.37142857142857144;-0.10128719139058873;0.012664393570384803;2.4776941551927924E-5;0.3312706744344566;-0.10136783931241417;12.614035087719298;0.13;0.39097117787591157;0.3329242098803314;0.18667788609454575;0.30718954248366015;3.188679245283019;0.42924528301886794
StringSwitch2SelectStat;-0.13445378151260504;0.22727272727272727;0.46;0.2803030303030303;0.33333333333333337;-0.14022787028921999;0.010526315789473684;1.4704498400150574E-5;0.27524094128159016;-0.14067598969066597;9.649122807017545;0.1;0.34919110329083375;0.29076396807297605;0.15825353137945272;0.2987012987012987;1.8518518518518519;0.3888888888888889
NoAnswer2SelectCase;-0.08120035304501325;0.06818181818181818;0.51;0.17045454545454544;0.2727272727272727;-0.1068835318036596;0.007471980074719801;2.743771942553952E-6;0.13636363636363635;-0.1184693826582881;2.8596491228070176;0.03;0.234375;0.10150799009678145;0.09270919990557354;0.3422818791946309;0.1836734693877551;0.3230769230769231
CPL2Program;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;44.0;0.44;1.0;0.0;0.9999594172314435;1.0;1.0;1.0
Outgoing2Method;0.15026833631484796;0.13636363636363635;0.62;0.5681818181818181;1.0;0.22192866578599735;0.05263157894736842;0.13636363636363635;0.3692744729379982;0.285022650021266;6.0;0.06;0.3903446910208048;0.05084745762711865;0.28499847412235335;0.4492753623188406;0.9473684210526315;1.0
Proxy2Select;0.008620689655172414;0.20454545454545456;0.54;0.32727272727272727;0.44999999999999996;0.00984251968503937;0.015202702702702704;2.10362563774268E-5;0.30338993810845893;0.010072787050317254;8.807017543859649;0.09;0.3876840239255393;0.17676767676767677;0.20396366535608873;0.3698630136986301;1.7608695652173914;0.5101214574898786
Failure2ErrorResponse;0.0;0.0;0.56;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3888888888888889;0.0;0.0
AddressSwitch2SelectStat;-0.0017421602787456446;0.1590909090909091;0.54;0.29829545454545453;0.4375;-0.0021008403361344537;0.01417004048582996;1.471307551020592E-5;0.26382242650554316;-0.002198062338916656;6.842105263157895;0.07;0.3533727535370905;0.1423076923076923;0.18078069319506207;0.3698630136986301;1.065217391304348;0.49746192893401014
Proxy2Return;-0.008968609865470852;0.045454545454545456;0.55;0.22272727272727275;0.4;-0.013610071452875128;0.011695906432748537;3.174366356795604E-6;0.13483997249264842;-0.01848684666616339;1.9473684210526316;0.02;0.2145997890368117;0.04472843450479233;0.0979712314349998;0.3793103448275862;0.08888888888888889;0.459016393442623
Default2SelectDefault;-0.017699115044247787;0.09090909090909091;0.54;0.24545454545454548;0.4;-0.023781212841854936;0.012048192771084338;6.6661111574035495E-6;0.19069251784911848;-0.026860765467512676;3.8947368421052633;0.04;0.282842712474619;0.08968609865470852;0.1342948091841309;0.3698630136986301;0.34782608695652173;0.459016393442623
SwitchedAddress2SelectCase;0.001774622892635315;0.09090909090909091;0.55;0.2676767676767677;0.4444444444444444;0.0024367956137678953;0.013793103448275862;7.99921607682447E-6;0.20100756305184242;0.0028157733142337264;3.912280701754386;0.04;0.2889069451838218;0.08008898776418243;0.1435943307988016;0.3793103448275862;0.35555555555555557;0.5045045045045046
NotPresent2ErrorResponse;-0.1825726141078838;0.25;0.43;0.28214285714285714;0.3142857142857143;-0.18569318421607933;0.009950248756218905;1.5276335012804347E-5;0.2803059552906941;-0.18584103873942598;10.578947368421053;0.11;0.3430278074063066;0.3561517113783534;0.1486665518219007;0.27388535031847133;2.1228070175438596;0.3684210526315789
Location2URIConstant;0.0;0.0;0.56;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3888888888888889;0.0;0.0
Otherwise2SelectDefault;-0.0425531914893617;0.22727272727272727;0.51;0.31363636363636366;0.4;-0.046093569946992395;0.013245033112582781;1.960557504131875E-5;0.3015113445777636;-0.046524210519923545;9.736842105263158;0.1;0.38169142944790385;0.22709056906224953;0.19074038908567006;0.3422818791946309;2.0408163265306123;0.45901639344262296
Incoming2Method;0.31957857769973663;0.29545454545454547;0.69;0.6477272727272727;1.0;0.4050069541029207;0.06451612903225806;0.29545454545454547;0.543557306504609;0.4360936120301471;13.0;0.13;0.5632663318877372;0.104;0.4360674902929314;0.5267175572519084;5.451612903225806;1.0
EXAM-BC;0.10526315789473684;0.15789473684210525;0.10526315789473684;0.10526315789473684;0.15789473684210525;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.15789473684210525;0.15789473684210525;0.10526315789473684;0.47368421052631576;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.05263157894736842
EXAM-WC;0.15789473684210525;0.2631578947368421;0.15789473684210525;0.15789473684210525;0.3157894736842105;0.15789473684210525;0.15789473684210525;0.15789473684210525;0.15789473684210525;0.15789473684210525;0.21052631578947367;0.2631578947368421;0.15789473684210525;0.5263157894736842;0.15789473684210525;0.15789473684210525;0.10526315789473684;0.21052631578947367
EXAM-AVG;0.13157894736842105;0.21052631578947367;0.13157894736842105;0.13157894736842105;0.23684210526315788;0.13157894736842105;0.13157894736842105;0.13157894736842105;0.13157894736842105;0.13157894736842105;0.18421052631578946;0.21052631578947367;0.13157894736842105;0.5;0.13157894736842105;0.13157894736842105;0.07894736842105263;0.13157894736842105

OCL19;SrcCPL.allInstances()->size() = TrgProgram.allInstances()->collect(p|p.service)->flatten()->collect(s|s.sessions)->flatten()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.001774622892635315;0.09090909090909091;0.55;0.2676767676767677;0.4444444444444444;0.0024367956137678953;0.013793103448275862;7.99921607682447E-6;0.20100756305184242;0.0028157733142337264;3.912280701754386;0.04;0.2889069451838218;0.08008898776418243;0.1435943307988016;0.3793103448275862;0.35555555555555557;0.5045045045045046
SubCall2Return;-0.23481781376518218;0.3111111111111111;0.39;0.3146464646464646;0.3111111111111111;-0.23486535735978942;0.010316875460574797;2.107288961998914E-5;0.3146266024828463;-0.23486593986243356;13.456140350877194;0.14;0.3490436972447492;0.5009276437847866;0.14172370749082014;0.2422360248447205;3.2131147540983607;0.3649906890130354
Busy2SelectCase;0.03169014084507042;0.13636363636363635;0.56;0.3181818181818182;0.5;0.04090909090909091;0.016666666666666666;1.5787396395211156E-5;0.26111648393354675;0.04463547754827117;5.894736842105263;0.06;0.34641016151377546;0.10536044362292052;0.185969627502334;0.3888888888888889;0.8181818181818182;0.5599999999999999
SubAction2Function;0.31957857769973663;0.29545454545454547;0.69;0.6477272727272727;1.0;0.4050069541029207;0.06451612903225806;0.29545454545454547;0.543557306504609;0.4360936120301471;13.0;0.13;0.5632663318877372;0.104;0.4360674902929314;0.5267175572519084;5.451612903225806;1.0
Redirect2Return;-0.0995850622406639;0.29545454545454547;0.47;0.3334415584415584;0.37142857142857144;-0.10128719139058873;0.012664393570384803;2.4776941551927924E-5;0.3312706744344566;-0.10136783931241417;12.614035087719298;0.13;0.39097117787591157;0.3329242098803314;0.18667788609454575;0.30718954248366015;3.188679245283019;0.42924528301886794
StringSwitch2SelectStat;-0.13445378151260504;0.22727272727272727;0.46;0.2803030303030303;0.33333333333333337;-0.14022787028921999;0.010526315789473684;1.4704498400150574E-5;0.27524094128159016;-0.14067598969066597;9.649122807017545;0.1;0.34919110329083375;0.29076396807297605;0.15825353137945272;0.2987012987012987;1.8518518518518519;0.3888888888888889
NoAnswer2SelectCase;-0.08120035304501325;0.06818181818181818;0.51;0.17045454545454544;0.2727272727272727;-0.1068835318036596;0.007471980074719801;2.743771942553952E-6;0.13636363636363635;-0.1184693826582881;2.8596491228070176;0.03;0.234375;0.10150799009678145;0.09270919990557354;0.3422818791946309;0.1836734693877551;0.3230769230769231
CPL2Program;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;44.0;0.44;1.0;0.0;0.9999594172314435;1.0;1.0;1.0
Outgoing2Method;0.15026833631484796;0.13636363636363635;0.62;0.5681818181818181;1.0;0.22192866578599735;0.05263157894736842;0.13636363636363635;0.3692744729379982;0.285022650021266;6.0;0.06;0.3903446910208048;0.05084745762711865;0.28499847412235335;0.4492753623188406;0.9473684210526315;1.0
Proxy2Select;0.008620689655172414;0.20454545454545456;0.54;0.32727272727272727;0.44999999999999996;0.00984251968503937;0.015202702702702704;2.10362563774268E-5;0.30338993810845893;0.010072787050317254;8.807017543859649;0.09;0.3876840239255393;0.17676767676767677;0.20396366535608873;0.3698630136986301;1.7608695652173914;0.5101214574898786
Failure2ErrorResponse;0.0;0.0;0.56;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3888888888888889;0.0;0.0
AddressSwitch2SelectStat;-0.0017421602787456446;0.1590909090909091;0.54;0.29829545454545453;0.4375;-0.0021008403361344537;0.01417004048582996;1.471307551020592E-5;0.26382242650554316;-0.002198062338916656;6.842105263157895;0.07;0.3533727535370905;0.1423076923076923;0.18078069319506207;0.3698630136986301;1.065217391304348;0.49746192893401014
Proxy2Return;-0.008968609865470852;0.045454545454545456;0.55;0.22272727272727275;0.4;-0.013610071452875128;0.011695906432748537;3.174366356795604E-6;0.13483997249264842;-0.01848684666616339;1.9473684210526316;0.02;0.2145997890368117;0.04472843450479233;0.0979712314349998;0.3793103448275862;0.08888888888888889;0.459016393442623
Default2SelectDefault;-0.017699115044247787;0.09090909090909091;0.54;0.24545454545454548;0.4;-0.023781212841854936;0.012048192771084338;6.6661111574035495E-6;0.19069251784911848;-0.026860765467512676;3.8947368421052633;0.04;0.282842712474619;0.08968609865470852;0.1342948091841309;0.3698630136986301;0.34782608695652173;0.459016393442623
SwitchedAddress2SelectCase;0.001774622892635315;0.09090909090909091;0.55;0.2676767676767677;0.4444444444444444;0.0024367956137678953;0.013793103448275862;7.99921607682447E-6;0.20100756305184242;0.0028157733142337264;3.912280701754386;0.04;0.2889069451838218;0.08008898776418243;0.1435943307988016;0.3793103448275862;0.35555555555555557;0.5045045045045046
NotPresent2ErrorResponse;-0.1825726141078838;0.25;0.43;0.28214285714285714;0.3142857142857143;-0.18569318421607933;0.009950248756218905;1.5276335012804347E-5;0.2803059552906941;-0.18584103873942598;10.578947368421053;0.11;0.3430278074063066;0.3561517113783534;0.1486665518219007;0.27388535031847133;2.1228070175438596;0.3684210526315789
Location2URIConstant;0.0;0.0;0.56;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3888888888888889;0.0;0.0
Otherwise2SelectDefault;-0.0425531914893617;0.22727272727272727;0.51;0.31363636363636366;0.4;-0.046093569946992395;0.013245033112582781;1.960557504131875E-5;0.3015113445777636;-0.046524210519923545;9.736842105263158;0.1;0.38169142944790385;0.22709056906224953;0.19074038908567006;0.3422818791946309;2.0408163265306123;0.45901639344262296
Incoming2Method;0.31957857769973663;0.29545454545454547;0.69;0.6477272727272727;1.0;0.4050069541029207;0.06451612903225806;0.29545454545454547;0.543557306504609;0.4360936120301471;13.0;0.13;0.5632663318877372;0.104;0.4360674902929314;0.5267175572519084;5.451612903225806;1.0
EXAM-BC;0.10526315789473684;0.15789473684210525;0.10526315789473684;0.10526315789473684;0.15789473684210525;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.15789473684210525;0.15789473684210525;0.10526315789473684;0.47368421052631576;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.05263157894736842
EXAM-WC;0.15789473684210525;0.2631578947368421;0.15789473684210525;0.15789473684210525;0.3157894736842105;0.15789473684210525;0.15789473684210525;0.15789473684210525;0.15789473684210525;0.15789473684210525;0.21052631578947367;0.2631578947368421;0.15789473684210525;0.5263157894736842;0.15789473684210525;0.15789473684210525;0.10526315789473684;0.21052631578947367
EXAM-AVG;0.13157894736842105;0.21052631578947367;0.13157894736842105;0.13157894736842105;0.23684210526315788;0.13157894736842105;0.13157894736842105;0.13157894736842105;0.13157894736842105;0.13157894736842105;0.18421052631578946;0.21052631578947367;0.13157894736842105;0.5;0.13157894736842105;0.13157894736842105;0.07894736842105263;0.13157894736842105

OCL20;SrcSubAction.allInstances()->forAll(sa | TrgLocalFunctionDeclaration.allInstances()->exists(lfd | lfd.name = sa.id))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.1190233977619532;0.0;0.78;0.0;0.0;-0.12;0.0;0.0;0.0;-0.12156613477096617;-0.10227272727272728;0.0;0.0;0.04285714285714286;0.0;0.639344262295082;0.0;0.0
