In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL1;TrgOperation.allInstances()->forAll(op|SrcEPackage.allInstances()->exists(p|op.name='@'+p.name+'@' or op.name=p.name or SrcEClass.allInstances()->exists(c|op.name=c.name+'@'+p.name or SrcEAttribute.allInstances()->exists(at|op.name=at.name+'@'+c.name+'@'+p.name) or SrcEReference.allInstances()->exists(ref|op.name=ref.name+'@'+c.name+'@'+p.name)) or SrcEEnum.allInstances()->exists(en|op.name=en.name+'@'+p.name or SrcEEnumLiteral.allInstances()->exists(enl|op.name=enl.name+'@'+en.name+'@'+p.name))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
EqIsUnique;0.0;0.24;0.24;0.62;1.0;0.0;0.02631578947368421;0.24;0.48989794855663565;0.0;24.0;0.24;0.24;1.0;0.0;0.13636363636363635;7.578947368421052;1.0
EqName;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
MetamodelEqName;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
EqPackage;0.0;0.61;0.61;0.8049999999999999;1.0;0.0;0.05128205128205128;0.61;0.7810249675906655;0.0;61.0;0.61;0.61;1.0;0.0;0.43884892086330934;95.41025641025641;1.0
EqLiterals;0.0;0.36;0.36;0.6799999999999999;1.0;0.0;0.03125;0.36;0.6;0.0;36.0;0.36;0.36;1.0;0.0;0.21951219512195122;20.25;1.0
PackEqSubPackages;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
PackEqSupPackage;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
PackEqMetamodel;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Reference2Operation;0.0;0.14;0.14;0.5700000000000001;1.0;0.0;0.023255813953488372;0.14;0.3741657386773941;0.0;14.0;0.14;0.14;1.0;0.0;0.07526881720430108;2.2790697674418605;1.0
EqContainingClass;0.0;0.24;0.24;0.62;1.0;0.0;0.02631578947368421;0.24;0.48989794855663565;0.0;24.0;0.24;0.24;1.0;0.0;0.13636363636363635;7.578947368421052;1.0
mtOrdConstant;0.0;0.32;0.32;0.66;1.0;0.0;0.029411764705882353;0.32;0.565685424949238;0.0;32.0;0.32;0.32;1.0;0.0;0.19047619047619047;15.058823529411764;1.0
PackEqClasses;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
ClassEqIsAbstract;0.0;0.38;0.38;0.69;1.0;0.0;0.03225806451612903;0.38;0.6164414002968976;0.0;38.0;0.38;0.38;1.0;0.0;0.2345679012345679;23.29032258064516;1.0
EqUpperBound;0.0;0.24;0.24;0.62;1.0;0.0;0.02631578947368421;0.24;0.48989794855663565;0.0;24.0;0.24;0.24;1.0;0.0;0.13636363636363635;7.578947368421052;1.0
RefEqIsContainment;0.0;0.14;0.14;0.5700000000000001;1.0;0.0;0.023255813953488372;0.14;0.3741657386773941;0.0;14.0;0.14;0.14;1.0;0.0;0.07526881720430108;2.2790697674418605;1.0
EqType;0.0;0.24;0.24;0.62;1.0;0.0;0.02631578947368421;0.24;0.48989794855663565;0.0;24.0;0.24;0.24;1.0;0.0;0.13636363636363635;7.578947368421052;1.0
EnumEqDefaultValue;0.0;0.36;0.36;0.6799999999999999;1.0;0.0;0.03125;0.36;0.6;0.0;36.0;0.36;0.36;1.0;0.0;0.21951219512195122;20.25;1.0
Enum2Sort;0.0;0.36;0.36;0.6799999999999999;1.0;0.0;0.03125;0.36;0.6;0.0;36.0;0.36;0.36;1.0;0.0;0.21951219512195122;20.25;1.0
EXAM-BC;0.02564102564102564;0.02564102564102564;0.02564102564102564;0.02564102564102564;0.05128205128205128;0.02564102564102564;0.02564102564102564;0.02564102564102564;0.02564102564102564;0.02564102564102564;0.02564102564102564;0.02564102564102564;0.02564102564102564;0.717948717948718;0.02564102564102564;0.02564102564102564;0.6923076923076923;0.02564102564102564
EXAM-WC;1.0;0.28205128205128205;0.28205128205128205;0.28205128205128205;1.0;1.0;0.28205128205128205;0.28205128205128205;0.28205128205128205;1.0;0.28205128205128205;0.28205128205128205;0.28205128205128205;1.0;1.0;0.28205128205128205;0.9487179487179487;0.9743589743589743
EXAM-AVG;0.5128205128205128;0.15384615384615385;0.15384615384615385;0.15384615384615385;0.5256410256410257;0.5128205128205128;0.15384615384615385;0.15384615384615385;0.15384615384615385;0.5128205128205128;0.15384615384615385;0.15384615384615385;0.15384615384615385;0.858974358974359;0.5128205128205128;0.15384615384615385;0.8205128205128205;0.5

OCL12;SrcEPackage.allInstances()->forAll(p | TrgOperation.allInstances()->one(op | Sequence{1..op.name.size()}->exists(i | Sequence{i..op.name.size()} -> exists(j | op.name.substring(i,j)=p.name and op.coarity.name='@Package'))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
MetamodelEqPackages;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
EnumLitConstant;0.0;0.1;0.1;0.55;1.0;0.0;0.022222222222222223;0.1;0.31622776601683794;0.0;10.0;0.1;0.1;1.0;0.0;0.05263157894736842;1.1111111111111112;1.0
ClassEqSuperTypes;0.0;0.38;0.38;0.69;1.0;0.0;0.03225806451612903;0.38;0.6164414002968976;0.0;38.0;0.38;0.38;1.0;0.0;0.2345679012345679;23.29032258064516;1.0
AttEqSpecificDefaultValue;0.0;0.16;0.16;0.58;1.0;0.0;0.023809523809523808;0.16;0.4;0.0;16.0;0.16;0.16;1.0;0.0;0.08695652173913043;3.0476190476190474;1.0
EqLowerBound;0.0;0.24;0.24;0.62;1.0;0.0;0.02631578947368421;0.24;0.48989794855663565;0.0;24.0;0.24;0.24;1.0;0.0;0.13636363636363635;7.578947368421052;1.0
AttEqIsId;0.0;0.18;0.18;0.59;1.0;0.0;0.024390243902439025;0.18;0.4242640687119285;0.0;18.0;0.18;0.18;1.0;0.0;0.0989010989010989;3.951219512195122;1.0
EqIsOrdered;0.0;0.24;0.24;0.62;1.0;0.0;0.02631578947368421;0.24;0.48989794855663565;0.0;24.0;0.24;0.24;1.0;0.0;0.13636363636363635;7.578947368421052;1.0
Initialize;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
EnumLitList;0.0;0.08;0.08;0.54;1.0;0.0;0.021739130434782608;0.08;0.282842712474619;0.0;8.0;0.08;0.08;1.0;0.0;0.041666666666666664;0.6956521739130435;1.0
RefEqOpposite;0.0;0.14;0.14;0.5700000000000001;1.0;0.0;0.023255813953488372;0.14;0.3741657386773941;0.0;14.0;0.14;0.14;1.0;0.0;0.07526881720430108;2.2790697674418605;1.0
EnumLiteral2Operation;0.0;0.1;0.1;0.55;1.0;0.0;0.022222222222222223;0.1;0.31622776601683794;0.0;10.0;0.1;0.1;1.0;0.0;0.05263157894736842;1.1111111111111112;1.0
Package2Operation;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
ClassEqReferences;0.0;0.38;0.38;0.69;1.0;0.0;0.03225806451612903;0.38;0.6164414002968976;0.0;38.0;0.38;0.38;1.0;0.0;0.2345679012345679;23.29032258064516;1.0
EmptyList;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
NamedElList;0.0;0.28;0.28;0.64;1.0;0.0;0.027777777777777776;0.28;0.5291502622129182;0.0;28.0;0.28;0.28;1.0;0.0;0.16279069767441862;10.88888888888889;1.0
Attribute2Operation;0.0;0.18;0.18;0.59;1.0;0.0;0.024390243902439025;0.18;0.4242640687119285;0.0;18.0;0.18;0.18;1.0;0.0;0.0989010989010989;3.951219512195122;1.0
NamedElConstant;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
EnumEqMetaAux;0.0;0.36;0.36;0.6799999999999999;1.0;0.0;0.03125;0.36;0.6;0.0;36.0;0.36;0.36;1.0;0.0;0.21951219512195122;20.25;1.0
Class2Sort;0.0;0.38;0.38;0.69;1.0;0.0;0.03225806451612903;0.38;0.6164414002968976;0.0;38.0;0.38;0.38;1.0;0.0;0.2345679012345679;23.29032258064516;1.0
createSort;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ClassEqAttributes;0.0;0.38;0.38;0.69;1.0;0.0;0.03225806451612903;0.38;0.6164414002968976;0.0;38.0;0.38;0.38;1.0;0.0;0.2345679012345679;23.29032258064516;1.0
EqIsUnique;0.0;0.24;0.24;0.62;1.0;0.0;0.02631578947368421;0.24;0.48989794855663565;0.0;24.0;0.24;0.24;1.0;0.0;0.13636363636363635;7.578947368421052;1.0
EqName;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
MetamodelEqName;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
EqPackage;0.0;0.61;0.61;0.8049999999999999;1.0;0.0;0.05128205128205128;0.61;0.7810249675906655;0.0;61.0;0.61;0.61;1.0;0.0;0.43884892086330934;95.41025641025641;1.0
EqLiterals;0.0;0.36;0.36;0.6799999999999999;1.0;0.0;0.03125;0.36;0.6;0.0;36.0;0.36;0.36;1.0;0.0;0.21951219512195122;20.25;1.0
PackEqSubPackages;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
PackEqSupPackage;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
PackEqMetamodel;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Reference2Operation;0.0;0.14;0.14;0.5700000000000001;1.0;0.0;0.023255813953488372;0.14;0.3741657386773941;0.0;14.0;0.14;0.14;1.0;0.0;0.07526881720430108;2.2790697674418605;1.0
EqContainingClass;0.0;0.24;0.24;0.62;1.0;0.0;0.02631578947368421;0.24;0.48989794855663565;0.0;24.0;0.24;0.24;1.0;0.0;0.13636363636363635;7.578947368421052;1.0
mtOrdConstant;0.0;0.32;0.32;0.66;1.0;0.0;0.029411764705882353;0.32;0.565685424949238;0.0;32.0;0.32;0.32;1.0;0.0;0.19047619047619047;15.058823529411764;1.0
PackEqClasses;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
ClassEqIsAbstract;0.0;0.38;0.38;0.69;1.0;0.0;0.03225806451612903;0.38;0.6164414002968976;0.0;38.0;0.38;0.38;1.0;0.0;0.2345679012345679;23.29032258064516;1.0
EqUpperBound;0.0;0.24;0.24;0.62;1.0;0.0;0.02631578947368421;0.24;0.48989794855663565;0.0;24.0;0.24;0.24;1.0;0.0;0.13636363636363635;7.578947368421052;1.0
RefEqIsContainment;0.0;0.14;0.14;0.5700000000000001;1.0;0.0;0.023255813953488372;0.14;0.3741657386773941;0.0;14.0;0.14;0.14;1.0;0.0;0.07526881720430108;2.2790697674418605;1.0
EqType;0.0;0.24;0.24;0.62;1.0;0.0;0.02631578947368421;0.24;0.48989794855663565;0.0;24.0;0.24;0.24;1.0;0.0;0.13636363636363635;7.578947368421052;1.0
EnumEqDefaultValue;0.0;0.36;0.36;0.6799999999999999;1.0;0.0;0.03125;0.36;0.6;0.0;36.0;0.36;0.36;1.0;0.0;0.21951219512195122;20.25;1.0
Enum2Sort;0.0;0.36;0.36;0.6799999999999999;1.0;0.0;0.03125;0.36;0.6;0.0;36.0;0.36;0.36;1.0;0.0;0.21951219512195122;20.25;1.0
EXAM-BC;0.02564102564102564;0.02564102564102564;0.02564102564102564;0.02564102564102564;0.05128205128205128;0.02564102564102564;0.02564102564102564;0.02564102564102564;0.02564102564102564;0.02564102564102564;0.02564102564102564;0.02564102564102564;0.02564102564102564;0.717948717948718;0.02564102564102564;0.02564102564102564;0.6923076923076923;0.02564102564102564
EXAM-WC;1.0;0.28205128205128205;0.28205128205128205;0.28205128205128205;1.0;1.0;0.28205128205128205;0.28205128205128205;0.28205128205128205;1.0;0.28205128205128205;0.28205128205128205;0.28205128205128205;1.0;1.0;0.28205128205128205;0.9487179487179487;0.9743589743589743
EXAM-AVG;0.5128205128205128;0.15384615384615385;0.15384615384615385;0.15384615384615385;0.5256410256410257;0.5128205128205128;0.15384615384615385;0.15384615384615385;0.15384615384615385;0.5128205128205128;0.15384615384615385;0.15384615384615385;0.15384615384615385;0.858974358974359;0.5128205128205128;0.15384615384615385;0.8205128205128205;0.5

